"37.798713, -122.405864",37.798713,-122.405864,Kokkari Estiatorio,37.796996,-122.399661,200 Jackson St,94111,4.5,4388,$$$,Greek,PsY5DMHxa5iNX_nX0T-qPA
"37.798713, -122.405864",37.798713,-122.405864,Philz Coffee,37.7756640166767,-122.39345180371,201 Berry St,94158,4.5,1388,$,Coffee & Tea,hWE2CDphzZ3nXlwv3Uk6Og
"37.798713, -122.405864",37.798713,-122.405864,Alimento,37.799643,-122.409622,507 Columbus Ave,94133,4.5,667,$,Gelato,v5-upYI3belSfXOeT1dNWw
"37.798713, -122.405864",37.798713,-122.405864,KitTea Cat Cafe,37.7739346,-122.4222081,96 Gough St,94102,4.5,661,$$,Themed Cafes,D1GB7el1CaX-22CkX94zfw
"37.798713, -122.405864",37.798713,-122.405864,Chisme Cantina,37.78862,-122.41483,882 Sutter St,94109,4.5,344,$$,Tacos,7X76HyhNAUTcYuY6t6ionQ
"37.798713, -122.405864",37.798713,-122.405864,The Brew Coop,37.75976,-122.42111,819 Valencia St,94110,4.5,162,$$,Beer Bar,c7oErwrhdsk3tL4vR9EC1w
"37.798713, -122.405864",37.798713,-122.405864,The Shota,37.79142,-122.40103,115 Sansome St,94104,5.0,97,$$$$,Japanese,ZNj4xwodItEfFofNYxMEhw
"37.798713, -122.405864",37.798713,-122.405864,Yemen Kitchen,37.7833448,-122.4126437,219 Jones St,94102,4.5,189,$$,Middle Eastern,kvXDYmfrjINaH4k5uS9emw
"37.798713, -122.405864",37.798713,-122.405864,Barrio,37.7995429440611,-122.410825960609,1609 Powell St,94133,5.0,69,$$,Wine Bars,CzhF2Ye0-4gCVthYqm9p0w
"37.798713, -122.405864",37.798713,-122.405864,OzaOza,37.785801,-122.43015,1700 Post St,94115,5.0,96,$$$$,Japanese,Y96P7pYNYya_bP-Ogun-0w
"37.798713, -122.405864",37.798713,-122.405864,Shizen Vegan Sushi Bar & Izakaya,37.768314,-122.421642,370 14th St,94103,4.5,1410,$$,Sushi Bars,CYttYTEiQuhSfo3SEh79fA
"37.798713, -122.405864",37.798713,-122.405864,The Italian Homemade Company,37.801752,-122.411851,716 Columbus Ave,94133,4.5,1336,$$,Italian,K9XVDlPNhrrSVEJN7uWqJQ
"37.798713, -122.405864",37.798713,-122.405864,Madd Mex Cantina Food Truck,37.5521392822266,-122.260833740234,,94404,4.5,199,$,Food Trucks,Is1KN9f5THyPgo1RjAxRzg
"37.798713, -122.405864",37.798713,-122.405864,Good Luck Cafe and Deli,37.793838,-122.404846,621 Kearny St,94108,4.5,399,$,Delis,kK0s7FAovaLmVDM4D_NdSQ
"37.798713, -122.405864",37.798713,-122.405864,Seven Hills,37.7953586,-122.4182303,1550 Hyde St,94109,4.5,978,$$$,Italian,dTWMVRcMVC4zynbFQC7A2A
"37.798713, -122.405864",37.798713,-122.405864,Cafe Me,37.7958367325659,-122.40185511318,500 Washington St,94111,4.5,294,$,Coffee & Tea,bdFlEMBC6HRgoHKcgoHc1g
"37.798713, -122.405864",37.798713,-122.405864,Anchor Oyster Bar,37.759689,-122.434609,579 Castro St,94114,4.5,1451,$$$,Seafood,ZDvIMjJ-7I0561ckM4pAeA
"37.798713, -122.405864",37.798713,-122.405864,Marufuku Ramen SF,37.785155,-122.432075,1581 Webster St,94115,4.5,2302,$$,Ramen,HHtpR0RslupSQ99GIIwW5A
"37.798713, -122.405864",37.798713,-122.405864,P&J's Waffle Delight,37.6993509319707,-121.738745509273,,94612,5.0,44,$,Food Trucks,mo0nboBdLiXQDonb7qmvrw
"37.798713, -122.405864",37.798713,-122.405864,Hog Island Oyster Co,37.795831,-122.393303,1 Ferry Bldg,94111,4.5,5700,$$,Seafood,Xg-FyjVKAN70LO4u4Z1ozg
"37.798713, -122.405864",37.798713,-122.405864,Cafe du Soleil,37.7832674501439,-122.397890965607,345 3rd St,94107,4.5,383,$$,French,IzRVZB6EuoizmnwAFy8siQ
"37.798713, -122.405864",37.798713,-122.405864,Waystone,37.7824109615308,-122.410308346152,992 Market St,94102,4.5,128,$$,Salad,rfl4M4Twa8O7WqSGAhIIgQ
"37.798713, -122.405864",37.798713,-122.405864,The Codmother Fish & Chips,37.8072702557489,-122.417093771758,496 Beach St,94133,4.5,2881,$$,British,PDhfVvcVXgBinZf5I6s1KQ
"37.798713, -122.405864",37.798713,-122.405864,The House,37.7986203,-122.4070251,1230 Grant Ave,94133,4.5,4620,$$$,Asian Fusion,ZoZjbOYR-apY8XvommlNUA
"37.798713, -122.405864",37.798713,-122.405864,Anomaly,37.7890183,-122.3915063,,94105,5.0,45,,Pop-Up Restaurants,OC53zpcrjXVa7_9SAgLEPg
"37.798713, -122.405864",37.798713,-122.405864,Il Canto Cafe,37.79386,-122.40037,275 Battery St,94111,4.5,260,$,Cafes,Jd28dXIWRxGwXKbfrnXq3g
"37.798713, -122.405864",37.798713,-122.405864,Saigon Sandwich,37.7831519576568,-122.417318022037,560 Larkin St,94102,4.5,3172,$,Vietnamese,hqQoVK0vadOX7_4gN1sh3g
"37.798713, -122.405864",37.798713,-122.405864,The Morris,37.763169251884,-122.408525913492,2501 Mariposa St,94110,4.5,222,$$$,American (New),KqGOvG1m5jgDL-pKGXEoNQ
"37.798713, -122.405864",37.798713,-122.405864,Burger Shack,37.80548,-122.41212,2237 Powell St,94133,4.5,202,$$,Burgers,DxQWUqelJB3zZ0JNjW9_mw
"37.798713, -122.405864",37.798713,-122.405864,Z Zoul Cafe,37.78373,-122.41226,295 Eddy St,94102,4.5,92,$,Mediterranean,EsnNcX1lxxhUQNtnooRM7A
"37.798713, -122.405864",37.798713,-122.405864,The Argentum Project,37.78169,-122.40922,47 6th St,94103,5.0,65,$,Greek,bluoSkYKGR_ZHZvWTF5szA
"37.798713, -122.405864",37.798713,-122.405864,Molinari Delicatessen,37.79838,-122.40782,373 Columbus Ave,94133,4.5,1065,$$,Delis,FmGF1B-Rpsjq1f5b56qMwg
"37.798713, -122.405864",37.798713,-122.405864,The Boy's Deli,37.7971806,-122.421842,2222 Polk St,94109,4.5,289,$,Delis,B61vZd9neTI8F7zZ-vApmw
"37.798713, -122.405864",37.798713,-122.405864,Milkbean,37.7871613,-122.4162122,881 Post St,94109,4.5,235,$,Coffee & Tea,5o24fe7v2Z0dgt3TCkZ1ww
"37.798713, -122.405864",37.798713,-122.405864,Hot Sauce and Panko,37.7945165216685,-122.417876198887,1468 Hyde St,94109,4.5,1058,$,Chicken Wings,NwqdohySKrDnK0RsAde9UA
"37.798713, -122.405864",37.798713,-122.405864,Beit Rima,37.76872,-122.42943,138 Church St,94114,4.5,170,$$,Arabian,BjlVE7tTp1UCEttgkM1Big
"37.798713, -122.405864",37.798713,-122.405864,Golden Boy Pizza,37.7997956,-122.4080729,542 Green St,94133,4.5,3331,$,Pizza,PTFxtXS47ZVRCdZIrEWvGw
"37.798713, -122.405864",37.798713,-122.405864,Massawa Restaurant,37.799714357237,-122.408007364852,532 Green St,94133,4.5,253,$$,Ethiopian,87wvt5-EkwbD1NY2gR5sAQ
"37.798713, -122.405864",37.798713,-122.405864,Fermentation Lab,37.77852,-122.41561,1230 Market St,94102,4.5,229,$$,Gastropubs,GmHNkpAaypi9jclaLI7sDQ
"37.798713, -122.405864",37.798713,-122.405864,Folklores Coffee Traders,37.7788831,-122.4319671,1035 Fillmore St,94115,4.5,96,$,Coffee & Tea,aF682DEnmO6TBQdLb_dHwg
"37.798713, -122.405864",37.798713,-122.405864,Hinata,37.78324,-122.42048,810 Van Ness Ave,94109,4.5,424,$$$$,Sushi Bars,yD9-WrXijc_grVmi_zkCfQ
"37.798713, -122.405864",37.798713,-122.405864,Bar 587,37.78771,-122.41139,587 Post St,94102,4.5,229,$$,Lounges,CanHZllFdfW89hzwN_9meg
"37.798713, -122.405864",37.798713,-122.405864,Michaelis Food Store,37.8053092956543,-122.422142028809,901 N Point St,94109,4.5,101,$,Grocery,Z1Umjcm-gD49iItsZtY5Fg
"37.798713, -122.405864",37.798713,-122.405864,Hollywood Cafe,37.8065799,-122.41584,530 North Point St,94133,4.5,2012,$$,Breakfast & Brunch,vVN_oVe6jvr4PCmXg_m9CA
"37.798713, -122.405864",37.798713,-122.405864,Rusty's Southern,37.7844,-122.41855,750 Ellis St,94109,4.5,905,$$,Southern,wZv5s1J3xmUkO-x9b8_-yQ
"37.798713, -122.405864",37.798713,-122.405864,Vive La Tarte,37.7769811042271,-122.410907296645,1160 Howard St,94103,4.5,497,$$,Bakeries,4qC4rdMhPBV-BDI-ET2ijg
"37.798713, -122.405864",37.798713,-122.405864,Leopold's,37.79892,-122.42207,2400 Polk St,94109,4.5,1028,$$,German,sQavxElZ71EGMrQ1zktn8Q
"37.798713, -122.405864",37.798713,-122.405864,Thorough Bread & Pastry,37.7665123809431,-122.429034858942,248 Church St,94114,4.5,821,$,Patisserie/Cake Shop,MTIqLOBdISaon4G22qb5Lg
"37.798713, -122.405864",37.798713,-122.405864,Curry Leaf,37.80308,-122.41452,943 Columbus Ave,94133,4.5,591,$$,Indian,c70nh-BV7Nn_rnNXDXnABg
"37.798713, -122.405864",37.798713,-122.405864,Trestle,37.796127,-122.404495,531 Jackson St,94133,4.5,808,$$$,American (New),jcFf2ZnJYL0nWCdIpqiA-g
"37.798713, -122.405864",37.798713,-122.405864,Hogwash,37.7891754,-122.4099292,582 Sutter St,94102,4.5,1002,$$,Gastropubs,t5OypGYSwYIXKjkEQx3BNw
"37.798713, -122.405864",37.798713,-122.405864,Omakase,37.7706719094861,-122.402888577285,665 Townsend St,94103,4.5,420,$$$$,Sushi Bars,WpcWACqlAodx5dbe5GJWZA
"37.798713, -122.405864",37.798713,-122.405864,Deli Board,37.7776247966103,-122.407012712007,1058 Folsom St,94103,4.5,1256,$$,Delis,BcW0vRdM8N-rteR2FfV1jg
"37.798713, -122.405864",37.798713,-122.405864,The Sandwich Place,37.76443,-122.4191,2029 Mission St,94110,4.5,271,$,Sandwiches,uAVg1yq5kb3Ia2Ve5_K5HQ
"37.798713, -122.405864",37.798713,-122.405864,El Diferente Loncheria,37.315831,-121.881065,1198 Vine St,95110,5.0,41,$,Food Trucks,GcfdjsPGaXrY02Q3bsKvew
"37.798713, -122.405864",37.798713,-122.405864,Wooly Pig,37.760662161462,-122.388421141818,2295 3rd St,94107,4.5,637,$,Sandwiches,Id2aVe9l5YQlHtlXnGye-Q
"37.798713, -122.405864",37.798713,-122.405864,Acquerello,37.79157,-122.4213296,1722 Sacramento St,94109,4.5,1067,$$$$,Italian,mDM7-ho67ePJXd5TodtCOg
"37.798713, -122.405864",37.798713,-122.405864,Il Casaro Pizzeria & Mozzarella Bar - North Beach Location,37.79852,-122.40739,348 Columbus Ave,94133,4.5,1042,$$,Italian,I8T8aoAsFQYwQiRvLBayFA
"37.798713, -122.405864",37.798713,-122.405864,The Pawn Shop,37.78106,-122.40834,993 Mission St,94103,4.5,133,$$,Speakeasies,DLjqwgeEd4BxZT7qJKvWUw
"37.798713, -122.405864",37.798713,-122.405864,Freddie's Sandwiches,37.8052368164062,-122.410316467285,300 Francisco St,94133,4.5,458,$,Sandwiches,yGEc-cj9Quk5mUh7maoPXA
"37.798713, -122.405864",37.798713,-122.405864,Montesacro Pinseria SF,37.7815976,-122.410121,510 Stevenson St,94103,4.5,614,$$,Pizza,ikkPHZqQQ2UU2hGFyBuffQ
"37.798713, -122.405864",37.798713,-122.405864,Sotto Mare Oysteria & Seafood,37.79979,-122.40834,552 Green St,94133,4.5,3509,$$,Seafood,8dUaybEPHsZMgr1iKgqgMQ
"37.798713, -122.405864",37.798713,-122.405864,Chez Maman East,37.7624388911845,-122.396692272318,1401 18th St,94107,4.5,2027,$$,French,UTVDbZv-qiHU06sDkoel3g
"37.798713, -122.405864",37.798713,-122.405864,Elixiria,37.7920625403238,-122.396727216602,25 Beale St,94105,4.5,264,$$,Juice Bars & Smoothies,FAmqgIJekYlMmVSVdi-R3A
"37.798713, -122.405864",37.798713,-122.405864,Tuba Express Mediterranean Kebab & Gyro,37.79081,-122.42008,1550 California St,94109,4.5,161,$$,Mediterranean,8wXA5hCMasPDEQYvwB3NYw
"37.798713, -122.405864",37.798713,-122.405864,The Italian Homemade Company,37.79742,-122.43097,1919 Union St,94123,4.5,816,$$,Italian,FRpULkKmvD9caSKabQzq5w
"37.798713, -122.405864",37.798713,-122.405864,Lazy Bear,37.76041,-122.41969,3416 19th St,94110,4.5,564,$$$$,American (New),uBaXDGwJPUkOSLWxS2vZ9Q
"37.798713, -122.405864",37.798713,-122.405864,La Folie,37.798136,-122.422036,2316 Polk St,94109,4.5,1432,$$$$,French,eSixRz7xcwtFdeh9hN5TyQ
"37.798713, -122.405864",37.798713,-122.405864,Hot Zushi,37.7718463870564,-122.430961020291,531 Haight St,94117,4.5,138,$$,Japanese,S91SPDiE-VGsOQHVBEuKHw
"37.798713, -122.405864",37.798713,-122.405864,La Fusión,37.7916357455614,-122.403691572642,475 Pine St,94104,4.5,1095,$$,Latin American,DLpHmXitZxDLdqTwydUSdA
"37.798713, -122.405864",37.798713,-122.405864,Frascati,37.7983589172363,-122.419105529785,1901 Hyde St,94109,4.5,1163,$$$,American (New),xdAgbLBQcffIxI8mYgjT1Q
