,Query ID,Query Lat,Query Lng,Name,Category,Biz Address,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
0,37.755215-122.405864,37.755215,-122.405864,Limoncello,"['Sandwiches', 'Delis', 'Beer, Wine & Spirits']",1400 Sutter St,San Francisco,94109,37.7873184067081,-122.423591369312,5.0,715,$$,2hGIxgprREdBieylltWaRQ
1,37.755215-122.405864,37.755215,-122.405864,Falafelland,['Falafel'],133 6th St,San Francisco,94103,37.78065,-122.40806,5.0,130,$$,7hwNwbYwU3oapw7GjaU8WQ
2,37.755215-122.405864,37.755215,-122.405864,Shish Ke Baba,"['Kebab', 'Turkish']",59 30th St,San Francisco,94110,37.74238033,-122.42310233,5.0,104,NAN,RGeS1J38e5PmDOiGS-7bOA
3,37.755215-122.405864,37.755215,-122.405864,Cuisine of Nepal,"['Himalayan/Nepalese', 'Indian']",3486 Mission St,San Francisco,94110,37.74097,-122.42318,4.5,513,$$,iUockw0CUssKZLyoGJYEXA
4,37.755215-122.405864,37.755215,-122.405864,Gusto Pinsa Romana,"['Pizza', 'Salad', 'Coffee & Tea']",1000 Bush St,San Francisco,94109,37.7896740586658,-122.413919270039,5.0,160,$$,3a36_kQBI8dB32Dt2aEEHg
5,37.755215-122.405864,37.755215,-122.405864,Miyako Old Fashioned Ice Cream,"['Ice Cream & Frozen Yogurt', 'Delis', 'Sandwiches']",1470 Fillmore St,San Francisco,94118,37.7830991389702,-122.432461963236,4.5,316,$,L3_71hwGHkr38nZ2daksuA
6,37.755215-122.405864,37.755215,-122.405864,Cheese Boutique,"['Cheese Shops', 'Sandwiches', 'Delis']",660 Chenery St,San Francisco,94131,37.73459,-122.43334,5.0,176,$,RMD2w2KYa4Vm5EYZ6UCu4Q
7,37.755215-122.405864,37.755215,-122.405864,Cup Cafe,"['Coffee & Tea', 'Bagels', 'Sandwiches']",6 Monterey Blvd,San Francisco,94131,37.7324501841132,-122.434748761081,5.0,207,$,hw5CNSJl90wD9Z8KYGNeEA
8,37.755215-122.405864,37.755215,-122.405864,Fresh Brew Coffee,"['Coffee & Tea', 'Sandwiches', 'Vietnamese']",882 Bush St,San Francisco,94108,37.79001,-122.41177,4.5,537,$,U9HWtltvf_U2y1wYSOwFUA
9,37.755215-122.405864,37.755215,-122.405864,Frena Bakery and Cafe,"['Bakeries', 'Kosher', 'Mediterranean']",132 6th St,San Francisco,94103,37.780321,-122.408274,4.5,364,$$,N-vfl3FXnj4M7N6jW-1EGA
10,37.755215-122.405864,37.755215,-122.405864,Crostini & Java,"['Coffee & Tea', 'Sandwiches', 'Tapas Bars']",899 Hyde St,San Francisco,94109,37.78892,-122.41714,5.0,120,$$,SZs2L7N1tNSsFEdbdEvcdw
11,37.755215-122.405864,37.755215,-122.405864,Tadu Ethiopian Kitchen,['Ethiopian'],484 Ellis St,San Francisco,94102,37.7848298,-122.4142271,4.5,635,$$,xkTx2lxZQptqxNeCBCaArA
12,37.755215-122.405864,37.755215,-122.405864,Lapisara Eatery,"['Breakfast & Brunch', 'Burgers', 'Thai']",698 Post St,San Francisco,94109,37.7878344,-122.4131853,4.5,532,$$,0mNzmmh1mrdh5Cpg2QUBiw
13,37.755215-122.405864,37.755215,-122.405864,Bandit,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)']",683 Geary St,San Francisco,94102,37.7864,-122.41451,4.5,337,$$,cwLN5xjMi6UJ14QmEtEs4A
14,37.755215-122.405864,37.755215,-122.405864,Nara Restaurant & Sake Bar,"['Japanese', 'Sushi Bars']",518 Haight St,San Francisco,94117,37.7721665317965,-122.430675700307,4.5,937,$$,cL0q9S4bqwpbAN9ZKh-Zeg
15,37.755215-122.405864,37.755215,-122.405864,Old Skool Cafe,"['Soul Food', 'American (Traditional)']",1429 Mendell St,San Francisco,94124,37.734266,-122.390515,4.5,533,$$,2oj_6uCp4DgVTJhYqEmBbA
16,37.755215-122.405864,37.755215,-122.405864,Little Heaven,"['Creperies', 'Bubble Tea', 'Juice Bars & Smoothies']",2348 Mission St,San Francisco,94110,37.75948,-122.41943,4.5,217,$,MQv3nVGFKOVb8iFO9oc1IA
17,37.755215-122.405864,37.755215,-122.405864,Marcella's Lasagneria,['Italian'],1099 Tennessee St,San Francisco,94107,37.7580376,-122.3890908,4.5,355,$$,F7UZBVdp69mTI_1M7stq2Q
18,37.755215-122.405864,37.755215,-122.405864,Ichido,"['Seafood', 'Japanese', 'Pop-Up Restaurants']",50 Apparel Way,San Francisco,94124,37.7751511257435,-122.419268265367,5.0,110,$$$,fchN6rNVAb1-OqxLMcdrvA
19,37.755215-122.405864,37.755215,-122.405864,Calabria Bros,"['Caterers', 'Sandwiches', 'Delis']",4763 Mission St,San Francisco,94112,37.7220306396484,-122.436477661133,5.0,137,$,EJT4D7B5__hwzdF6eE8Byg
