Alimento,"['Gelato', 'Sandwiches', 'Salad']",San Francisco,94133.0,37.799643,-122.409622,4.5,667,$,v5-upYI3belSfXOeT1dNWw
Chisme Cantina,"['Tacos', 'Vegan']",San Francisco,94109.0,37.78862,-122.41483,4.5,345,$$,7X76HyhNAUTcYuY6t6ionQ
The Brew Coop,"['Beer Bar', 'Sports Bars', 'Chicken Wings']",San Francisco,94110.0,37.75976,-122.42111,4.5,162,$$,c7oErwrhdsk3tL4vR9EC1w
The Shota,"['Japanese', 'Sushi Bars']",San Francisco,94104.0,37.79142,-122.40103,5.0,97,$$$$,ZNj4xwodItEfFofNYxMEhw
Yemen Kitchen,"['Middle Eastern', 'Mediterranean', 'Sandwiches']",San Francisco,94102.0,37.7833448,-122.4126437,4.5,189,$$,kvXDYmfrjINaH4k5uS9emw
The Cheese School of San Francisco,['Cafes'],San Francisco,94109.0,37.8058745,-122.4227503,4.5,177,$$$,F0lbnTB0yKkIlSmg3OhwWg
Barrio,"['Wine Bars', 'Beer Bar', 'Latin American']",San Francisco,94133.0,37.7995429440611,-122.410825960609,5.0,69,$$,CzhF2Ye0-4gCVthYqm9p0w
OzaOza,['Japanese'],San Francisco,94115.0,37.785801,-122.43015,5.0,96,$$$$,Y96P7pYNYya_bP-Ogun-0w
Shizen Vegan Sushi Bar & Izakaya,"['Sushi Bars', 'Vegan', 'Izakaya']",San Francisco,94103.0,37.768314,-122.421642,4.5,1411,$$,CYttYTEiQuhSfo3SEh79fA
The Italian Homemade Company,"['Italian', 'Pasta Shops', 'International Grocery']",San Francisco,94133.0,37.801752,-122.411851,4.5,1337,$$,K9XVDlPNhrrSVEJN7uWqJQ
Madd Mex Cantina Food Truck,"['Food Trucks', 'Mexican', 'Caterers']",San Mateo,94404.0,37.5521392822266,-122.26083374023399,4.5,199,$,Is1KN9f5THyPgo1RjAxRzg
Good Luck Cafe and Deli,"['Delis', 'Cafes', 'Sandwiches']",San Francisco,94108.0,37.793838,-122.404846,4.5,399,$,kK0s7FAovaLmVDM4D_NdSQ
Seven Hills,"['Italian', 'Seafood', 'Wine Bars']",San Francisco,94109.0,37.7953586,-122.4182303,4.5,979,$$$,dTWMVRcMVC4zynbFQC7A2A
Cafe Me,"['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']",San Francisco,94111.0,37.795836732565895,-122.40185511318,4.5,294,$,bdFlEMBC6HRgoHKcgoHc1g
Anchor Oyster Bar,['Seafood'],San Francisco,94114.0,37.759689,-122.434609,4.5,1452,$$$,ZDvIMjJ-7I0561ckM4pAeA
Marufuku Ramen SF,['Ramen'],San Francisco,94115.0,37.785155,-122.432075,4.5,2308,$$,HHtpR0RslupSQ99GIIwW5A
P&J's Waffle Delight,"['Food Trucks', 'Waffles']",Bay Area,94612.0,37.6993509319707,-121.73874550927299,5.0,44,$,mo0nboBdLiXQDonb7qmvrw
Hog Island Oyster Co,"['Seafood', 'Seafood Markets', 'Live/Raw Food']",San Francisco,94111.0,37.795831,-122.393303,4.5,5702,$$,Xg-FyjVKAN70LO4u4Z1ozg
Cafe du Soleil,"['French', 'Sandwiches', 'Italian']",San Francisco,94107.0,37.7832674501439,-122.39789096560699,4.5,383,$$,IzRVZB6EuoizmnwAFy8siQ
The Codmother Fish & Chips,"['British', 'Fish & Chips', 'Seafood']",San Francisco,94133.0,37.8072702557489,-122.417093771758,4.5,2885,$$,PDhfVvcVXgBinZf5I6s1KQ
Waystone,"['Salad', 'Sandwiches', 'Wine Bars']",San Francisco,94102.0,37.78241096153079,-122.41030834615201,4.5,128,$$,rfl4M4Twa8O7WqSGAhIIgQ
The House,['Asian Fusion'],San Francisco,94133.0,37.7986203,-122.4070251,4.5,4620,$$$,ZoZjbOYR-apY8XvommlNUA
Anomaly,['Pop-Up Restaurants'],San Francisco,94105.0,37.7890183,-122.3915063,5.0,45,NAN,OC53zpcrjXVa7_9SAgLEPg
Il Canto Cafe,"['Cafes', 'Breakfast & Brunch']",San Francisco,94111.0,37.79386,-122.40037,4.5,260,$,Jd28dXIWRxGwXKbfrnXq3g
Saigon Sandwich,"['Vietnamese', 'Sandwiches']",San Francisco,94102.0,37.7831519576568,-122.417318022037,4.5,3173,$,hqQoVK0vadOX7_4gN1sh3g
The Morris,"['American (New)', 'Cocktail Bars', 'Desserts']",San Francisco,94110.0,37.763169251884,-122.408525913492,4.5,222,$$$,KqGOvG1m5jgDL-pKGXEoNQ
Burger Shack,"['Burgers', 'Bars']",San Francisco,94133.0,37.80548,-122.41212,4.5,202,$$,DxQWUqelJB3zZ0JNjW9_mw
Z Zoul Cafe,"['Mediterranean', 'African', 'Halal']",San Francisco,94102.0,37.78373,-122.41226,4.5,92,$,EsnNcX1lxxhUQNtnooRM7A
The Argentum Project,"['Greek', 'Bakeries', 'Ice Cream & Frozen Yogurt']",San Francisco,94103.0,37.78169000000001,-122.40922,5.0,65,$,bluoSkYKGR_ZHZvWTF5szA
Molinari Delicatessen,['Delis'],San Francisco,94133.0,37.79838,-122.40782,4.5,1065,$$,FmGF1B-Rpsjq1f5b56qMwg
Milkbean,"['Coffee & Tea', 'Sandwiches', 'Bakeries']",San Francisco,94109.0,37.7871613,-122.4162122,4.5,235,$,5o24fe7v2Z0dgt3TCkZ1ww
The Boy's Deli,"['Delis', 'Meat Shops', 'Sandwiches']",San Francisco,94109.0,37.7971806,-122.421842,4.5,290,$,B61vZd9neTI8F7zZ-vApmw
Hot Sauce and Panko,"['Chicken Wings', 'Specialty Food']",San Francisco,94109.0,37.7945165216685,-122.417876198887,4.5,1059,$,NwqdohySKrDnK0RsAde9UA
Golden Boy Pizza,"['Pizza', 'Italian']",San Francisco,94133.0,37.7997956,-122.4080729,4.5,3335,$,PTFxtXS47ZVRCdZIrEWvGw
Massawa Restaurant,"['Ethiopian', 'Vegetarian', 'Eritrean']",San Francisco,94133.0,37.799714357237,-122.40800736485201,4.5,253,$$,87wvt5-EkwbD1NY2gR5sAQ
