94501,Pho Huong Que,37.79802,-122.25594,200 International Blvd,94606,5.0,8,,Vietnamese,nll5BMxM2u9FfOfec4oqtA
94501,Grammie's Down-Home Chicken & Seafood,37.82845,-122.27479,3817 Market St,94608,5.0,5,,Fish & Chips,suo1I9O6p7jQxlSZJh7cNA
94501,Pier 29,37.767368,-122.2880754,1148 Ballena Blvd,94501,3.0,348,$$,Seafood,czaf6Xaz8aAG2o_XQt5JCA
94501,Mockingbird,37.80355,-122.27067,416 13th St,94612,4.0,534,$$,American (New),vuJcJL8eJ_gomt865GnI_A
94501,American Oak,37.76581,-122.2423,2319 Santa Clara Ave,94501,4.0,565,$$,American (New),PIC3URoS728clY5Cw6RTGw
94501,Neptune's,37.7713061,-122.2781289,630 Central Ave,94501,3.5,414,$$,American (New),HXo2PD9Xh0kjlGf38PA3xA
94501,The Lumpia Company,37.813402,-122.2644941,372 24th St,94612,4.0,70,$,Filipino,LbeL3KUv6JP298uGXxt_fg
94501,The Park Street Tavern,37.769991,-122.23825,1901 Park St,94501,4.5,104,$$,Greek,zw4_Hz06ARZyocL0t9XQCg
94501,Eve's Waterfront,37.7922453,-122.269462,15 Embarcadero W,94607,3.0,312,$$,Seafood,rUvT7bPgWMwgIsBaKZU3TQ
94501,Kitchen of Alameda,37.77707,-122.277,1727 Webster St,94501,3.5,193,$,Chinese,liZzU2rRyDXKeCAE3eQU0w
94501,Belly,37.80918,-122.27319,1901 San Pablo Ave,94612,4.0,1565,$$,Burgers,6iT-NihtnFnDh8JOYxRvDQ
94501,Pacific Lighthouse Restaurant,37.78372,-122.26536,1051 Pacific Marina,94501,3.0,305,$$,Dim Sum,pBGMDw-06D1J1ZYtfthVgw
94501,Santoro's Italian Market & Deli,37.77367,-122.28252,475 Santa Clara Ave,94501,4.5,225,$,Delis,ovfGkvo3N8pB1KbOu3zEzQ
94502,Ohgane Korean BBQ,37.7575485,-122.25201,2211 South Shore Ctr,94501,4.5,48,,Barbeque,zTPJr9tZ9sU2gRxEQXlWLQ
94502,Made Pho You,37.7621165590702,-122.244804985821,1245 Park St,94501,4.5,21,,Vietnamese,gs-RAfcWguIsQG8CsS9dGw
94502,Roll & Bowl,37.762848,-122.245206,2302 Encinal Ave,94501,4.5,58,$,Comfort Food,FI0veywHLcErYNMxFePqng
94502,Oscar's Grill,37.727125,-122.236366,1411 Harbor Bay Pkwy,94502,4.0,59,$,Mexican,RJsTyGg8z4UqmdTVLVJMkQ
94502,Trabocco Kitchen & Cocktails,37.757312,-122.251694,2213 S Shore Ctr,94501,4.0,1154,$$,Italian,17Zv2e4Mh5I-wbp_x7WrpQ
94502,Angela's Kitchen,37.7674777,-122.2398557,1640 Park St,94501,4.5,203,$$,Mediterranean,byiUp9IdXSRZk5v9ACfDPg
94502,Speisekammer,37.76606,-122.23997,2424 Lincoln Ave,94501,4.0,1312,$$,German,hzcbj-gz-A8yTc4tp0G69g
94502,Wild Ginger,37.7620099,-122.24491,1239 Park St,94501,4.0,249,$$,Chinese,4j1zqAwHCr07lKCCAiztAA
94502,Monkey King At the Brewery,37.7682575583458,-122.239335626364,1708 Park St,94501,4.0,291,$$,Cajun/Creole,uB5Tcxams_UfN8y0YGarug
