Row Labels,Count of Category
"['Buffets', 'Cafeteria']",1
"['Buffets', 'Chinese', 'Asian Fusion']",1
"['Buffets', 'Chinese', 'Sushi Bars']",1
"['Buffets', 'Chinese']",3
"['Buffets', 'Filipino']",1
"['Buffets', 'Hot Pot', 'Korean']",1
"['Buffets', 'Indian']",1
"['Buffets', 'Japanese', 'Seafood']",1
"['Buffets', 'Mexican', 'Breakfast & Brunch']",1
"['Buffets', 'Mexican', 'Sandwiches']",1
"['Buffets', 'Mongolian', 'Chinese']",1
"['Buffets', 'Pakistani', 'Halal']",1
"['Buffets', 'Peruvian']",1
"['Buffets', 'Sandwiches', 'Salad']",1
"['Buffets', 'Sports Bars', 'American (New)']",1
"['Buffets', 'Sushi Bars', 'Seafood']",1
"['Buffets', 'Sushi Bars']",1
"['Buffets', 'Vegetarian', 'Salad']",1
['Buffets'],9
"['Burgers', 'American (New)', 'Barbeque']",1
"['Burgers', 'American (New)', 'Bars']",1
"['Burgers', 'American (New)', 'Beer Bar']",1
"['Burgers', 'American (New)', 'Brasseries']",1
"['Burgers', 'American (New)', 'Gastropubs']",2
"['Burgers', 'American (New)', 'Sandwiches']",1
"['Burgers', 'American (New)']",3
"['Burgers', 'American (Traditional)', 'Breakfast & Brunch']",1
"['Burgers', 'American (Traditional)', 'Dive Bars']",1
"['Burgers', 'American (Traditional)', 'Fast Food']",3
"['Burgers', 'American (Traditional)', 'Hot Dogs']",1
"['Burgers', 'American (Traditional)', 'Ice Cream & Frozen Yogurt']",1
"['Burgers', 'American (Traditional)', 'Pizza']",1
"['Burgers', 'American (Traditional)', 'Salad']",2
"['Burgers', 'American (Traditional)', 'Sandwiches']",5
"['Burgers', 'American (Traditional)', 'Sports Bars']",1
"['Burgers', 'American (Traditional)']",17
"['Burgers', 'Asian Fusion', 'Breakfast & Brunch']",1
"['Burgers', 'Barbeque', 'American (Traditional)']",1
"['Burgers', 'Barbeque']",2
"['Burgers', 'Bars', 'American (New)']",1
"['Burgers', 'Bars', 'American (Traditional)']",1
"['Burgers', 'Bars', 'Breakfast & Brunch']",2
"['Burgers', 'Bars']",2
"['Burgers', 'Beer Bar', 'Chicken Wings']",1
"['Burgers', 'Beer Bar', 'Cocktail Bars']",1
"['Burgers', 'Beer Bar', 'Gluten-Free']",1
"['Burgers', 'Beer Bar', 'Salad']",1
"['Burgers', 'Beer Bar', 'Sandwiches']",1
"['Burgers', 'Beer Bar']",1
"['Burgers', 'Beer Gardens', 'Sandwiches']",1
"['Burgers', 'Beer Gardens']",1
"['Burgers', 'Beer, Wine & Spirits', 'Sandwiches']",1
"['Burgers', 'Breakfast & Brunch', 'American (New)']",1
"['Burgers', 'Breakfast & Brunch', 'American (Traditional)']",3
"['Burgers', 'Breakfast & Brunch', 'Cocktail Bars']",1
"['Burgers', 'Breakfast & Brunch', 'Coffee & Tea']",1
"['Burgers', 'Breakfast & Brunch', 'Fish & Chips']",2
"['Burgers', 'Breakfast & Brunch', 'Hot Dogs']",1
"['Burgers', 'Breakfast & Brunch', 'Sandwiches']",3
"['Burgers', 'Breakfast & Brunch']",2
"['Burgers', 'Butcher', 'Steakhouses']",1
"['Burgers', 'Cafes', 'Bagels']",1
"['Burgers', 'Cafes', 'Breakfast & Brunch']",1
"['Burgers', 'Cheesesteaks', 'Hot Dogs']",1
"['Burgers', 'Cheesesteaks', 'Korean']",1
"['Burgers', 'Chicken Wings', 'Halal']",1
"['Burgers', 'Coffee & Tea']",1
"['Burgers', 'Delis', 'Breakfast & Brunch']",1
"['Burgers', 'Delis', 'Middle Eastern']",1
"['Burgers', 'Delis']",1
"['Burgers', 'Desserts', 'Salad']",1
"['Burgers', 'Desserts', 'Sandwiches']",1
"['Burgers', 'Diners', 'Breakfast & Brunch']",1
"['Burgers', 'Diners']",2
"['Burgers', 'Dive Bars', 'Pizza']",1
"['Burgers', 'Donuts', 'Breakfast & Brunch']",2
"['Burgers', 'Donuts', 'Coffee & Tea']",1
"['Burgers', 'Fast Food', 'American (New)']",1
"['Burgers', 'Fast Food', 'American (Traditional)']",1
"['Burgers', 'Fast Food', 'Breakfast & Brunch']",1
"['Burgers', 'Fast Food', 'Bubble Tea']",1
"['Burgers', 'Fast Food', 'Coffee & Tea']",1
"['Burgers', 'Fast Food', 'Hot Dogs']",2
"['Burgers', 'Fast Food']",12
"['Burgers', 'Food Delivery Services', 'Food Trucks']",1
"['Burgers', 'Food Delivery Services', 'Juice Bars & Smoothies']",1
"['Burgers', 'Food Trucks', 'Hot Dogs']",1
"['Burgers', 'Food Trucks', 'Sandwiches']",1
"['Burgers', 'Halal', 'American (Traditional)']",1
"['Burgers', 'Hot Dogs', 'American (Traditional)']",2
"['Burgers', 'Hot Dogs', 'Beer Gardens']",1
"['Burgers', 'Hot Dogs', 'Breakfast & Brunch']",1
"['Burgers', 'Hot Dogs', 'Desserts']",1
"['Burgers', 'Hot Dogs', 'Pizza']",1
"['Burgers', 'Hot Dogs', 'Sandwiches']",2
"['Burgers', 'Hot Dogs']",4
"['Burgers', 'Ice Cream & Frozen Yogurt', 'American (New)']",1
"['Burgers', 'Ice Cream & Frozen Yogurt', 'Breakfast & Brunch']",1
"['Burgers', 'Ice Cream & Frozen Yogurt', 'Fast Food']",1
"['Burgers', 'Ice Cream & Frozen Yogurt', 'Hot Dogs']",1
"['Burgers', 'Ice Cream & Frozen Yogurt', 'Sandwiches']",1
"['Burgers', 'Ice Cream & Frozen Yogurt']",3
"['Burgers', 'Irish Pub']",1
"['Burgers', 'Japanese', 'Korean']",1
"['Burgers', 'Juice Bars & Smoothies', 'Breweries']",1
"['Burgers', 'Mexican', 'Asian Fusion']",1
"['Burgers', 'Mexican']",3
"['Burgers', 'Pancakes', 'Coffee & Tea']",1
"['Burgers', 'Pizza', 'Sandwiches']",1
"['Burgers', 'Pizza']",1
"['Burgers', 'Pubs', 'Pizza']",1
"['Burgers', 'Salad', 'American (New)']",1
"['Burgers', 'Salad', 'Beer Bar']",2
"['Burgers', 'Salad', 'Cajun/Creole']",1
"['Burgers', 'Salad', 'Sandwiches']",3
"['Burgers', 'Salad', 'Seafood']",1
"['Burgers', 'Salad']",2
"['Burgers', 'Sandwiches', 'American (New)']",1
"['Burgers', 'Sandwiches', 'Bars']",2
"['Burgers', 'Sandwiches', 'Beverage Store']",1
"['Burgers', 'Sandwiches', 'Cheesesteaks']",1
"['Burgers', 'Sandwiches', 'Chicken Wings']",1
"['Burgers', 'Sandwiches', 'Coffee & Tea']",2
"['Burgers', 'Sandwiches', 'Desserts']",1
"['Burgers', 'Sandwiches', 'Diners']",1
"['Burgers', 'Sandwiches', 'Hot Dogs']",1
"['Burgers', 'Sandwiches', 'Kebab']",1
"['Burgers', 'Sandwiches', 'Pizza']",1
"['Burgers', 'Sandwiches', 'Pubs']",1
"['Burgers', 'Sandwiches', 'Salad']",1
"['Burgers', 'Sandwiches']",10
"['Burgers', 'Seafood', 'Breakfast & Brunch']",1
"['Burgers', 'Seafood', 'Sandwiches']",1
"['Burgers', 'Sports Bars', 'American (Traditional)']",2
"['Burgers', 'Sports Bars', 'Breakfast & Brunch']",1
"['Burgers', 'Sports Bars']",1
"['Burgers', 'Sushi Bars', 'Breakfast & Brunch']",1
"['Burgers', 'Tacos']",1
"['Burgers', 'Thai', 'Sandwiches']",1
"['Burgers', 'Vegan', 'Gluten-Free']",1
"['Burgers', 'Wine Bars', 'Sandwiches']",1
['Burgers'],71
"['Burmese', 'Asian Fusion', 'Breakfast & Brunch']",1
"['Burmese', 'Asian Fusion']",3
"['Burmese', 'Barbeque', 'Fast Food']",1
"['Burmese', 'Bars', 'Salad']",1
"['Burmese', 'Bars', 'Seafood']",1
"['Burmese', 'Bars']",1
"['Burmese', 'Cafes', 'Tea Rooms']",1
"['Burmese', 'Chinese', 'Buffets']",1
"['Burmese', 'Chinese', 'Fast Food']",1
"['Burmese', 'Chinese', 'Thai']",1
"['Burmese', 'Chinese']",2
"['Burmese', 'Malaysian', 'Seafood']",1
"['Burmese', 'Salad', 'Asian Fusion']",1
"['Burmese', 'Salad', 'Seafood']",1
"['Burmese', 'Salad', 'Soup']",2
"['Burmese', 'Soup', 'Noodles']",1
"['Burmese', 'Vegetarian', 'Asian Fusion']",1
"['Burmese', 'Vegetarian']",1
['Burmese'],17
"['Butcher', 'Delis', 'Caterers']",1
"['Butcher', 'Meat Shops', 'Halal']",1
"['Butcher', 'Sandwiches']",1
"['Cafes', 'Acai Bowls', 'Juice Bars & Smoothies']",2
"['Cafes', 'American (New)', 'Beer, Wine & Spirits']",1
"['Cafes', 'American (New)', 'Breakfast & Brunch']",1
"['Cafes', 'American (New)', 'Kids Activities']",1
"['Cafes', 'American (New)', 'Music Venues']",1
"['Cafes', 'American (New)', 'Pizza']",1
"['Cafes', 'American (New)', 'Sandwiches']",1
"['Cafes', 'American (New)']",2
"['Cafes', 'American (Traditional)', 'Breakfast & Brunch']",1
"['Cafes', 'American (Traditional)', 'Coffee & Tea']",1
"['Cafes', 'American (Traditional)']",2
"['Cafes', 'Art Galleries']",1
"['Cafes', 'Bagels']",1
"['Cafes', 'Bakeries', 'Breakfast & Brunch']",2
"['Cafes', 'Bakeries', 'Bubble Tea']",1
"['Cafes', 'Bakeries', 'Caterers']",1
"['Cafes', 'Bakeries', 'Coffee & Tea']",1
"['Cafes', 'Bakeries', 'Creperies']",1
"['Cafes', 'Bakeries', 'Grocery']",1
"['Cafes', 'Bakeries', 'Vegetarian']",1
"['Cafes', 'Bakeries']",5
"['Cafes', 'Banks & Credit Unions']",1
"['Cafes', 'Barbeque', 'Breakfast & Brunch']",1
"['Cafes', 'Bars']",2
"['Cafes', 'Beer Bar', 'Delis']",1
"['Cafes', 'Breakfast & Brunch', 'American (New)']",1
"['Cafes', 'Breakfast & Brunch', 'American (Traditional)']",3
"['Cafes', 'Breakfast & Brunch', 'Bagels']",1
"['Cafes', 'Breakfast & Brunch', 'Burgers']",2
"['Cafes', 'Breakfast & Brunch', 'Coffee & Tea']",1
"['Cafes', 'Breakfast & Brunch', 'Creperies']",1
"['Cafes', 'Breakfast & Brunch', 'Desserts']",1
"['Cafes', 'Breakfast & Brunch', 'Juice Bars & Smoothies']",1
"['Cafes', 'Breakfast & Brunch', 'Patisserie/Cake Shop']",1
"['Cafes', 'Breakfast & Brunch', 'Salad']",1
"['Cafes', 'Breakfast & Brunch', 'Sandwiches']",8
"['Cafes', 'Breakfast & Brunch', 'Soup']",1
"['Cafes', 'Breakfast & Brunch', 'Waffles']",1
"['Cafes', 'Breakfast & Brunch', 'Wraps']",1
"['Cafes', 'Breakfast & Brunch']",20
"['Cafes', 'Bubble Tea', 'Breakfast & Brunch']",1
"['Cafes', 'Bubble Tea', 'Desserts']",1
"['Cafes', 'Bubble Tea', 'Gelato']",1
"['Cafes', 'Bubble Tea', 'Tea Rooms']",1
"['Cafes', 'Bubble Tea']",2
"['Cafes', 'Burgers', 'Pizza']",1
"['Cafes', 'Burgers', 'Sandwiches']",1
"['Cafes', 'Caribbean']",1
"['Cafes', 'Caterers']",1
"['Cafes', 'Chinese']",1
"['Cafes', 'Chocolatiers & Shops']",1
"['Cafes', 'Coffee & Tea', 'American (New)']",1
"['Cafes', 'Coffee & Tea', 'American (Traditional)']",1
"['Cafes', 'Coffee & Tea', 'Bagels']",1
"['Cafes', 'Coffee & Tea', 'Bakeries']",2
"['Cafes', 'Coffee & Tea', 'Breakfast & Brunch']",7
"['Cafes', 'Coffee & Tea', 'Ice Cream & Frozen Yogurt']",1
"['Cafes', 'Coffee & Tea', 'Latin American']",1
"['Cafes', 'Coffee & Tea', 'Sandwiches']",7
"['Cafes', 'Coffee & Tea', 'Used, Vintage & Consignment']",1
"['Cafes', 'Coffee & Tea', 'Vietnamese']",1
"['Cafes', 'Coffee & Tea', 'Waffles']",1
"['Cafes', 'Coffee & Tea']",18
"['Cafes', 'Coffee Roasteries', 'Breakfast & Brunch']",1
"['Cafes', 'Coffee Roasteries', 'Coffee & Tea']",1
"['Cafes', 'Creperies', 'French']",2
"['Cafes', 'Delis', 'Breakfast & Brunch']",2
"['Cafes', 'Delis', 'Burgers']",1
"['Cafes', 'Delis', 'Juice Bars & Smoothies']",1
"['Cafes', 'Delis', 'Sandwiches']",1
"['Cafes', 'Delis']",5
"['Cafes', 'Desserts', 'Bakeries']",1
"['Cafes', 'Desserts', 'Breakfast & Brunch']",1
"['Cafes', 'Diners', 'American (Traditional)']",1
"['Cafes', 'Diners']",1
"['Cafes', 'Food Court']",1
"['Cafes', 'French', 'Wine Bars']",1
"['Cafes', 'Grocery', 'Beer, Wine & Spirits']",1
"['Cafes', 'Health Markets']",1
"['Cafes', 'Juice Bars & Smoothies', 'Breakfast & Brunch']",2
"['Cafes', 'Juice Bars & Smoothies', 'Vegan']",1
"['Cafes', 'Juice Bars & Smoothies']",3
"['Cafes', 'Karaoke', 'Sports Bars']",1
"['Cafes', 'Kitchen Incubators', 'Team Building Activities']",1
"['Cafes', 'Laundromat']",1
"['Cafes', 'Mediterranean', 'American (Traditional)']",1
"['Cafes', 'Mexican']",2
"['Cafes', 'Middle Eastern', 'Breakfast & Brunch']",1
"['Cafes', 'Patisserie/Cake Shop', 'Sandwiches']",1
"['Cafes', 'Performing Arts', 'Bookstores']",1
"['Cafes', 'Peruvian', 'Italian']",1
"['Cafes', 'Pubs', 'Breakfast & Brunch']",1
"['Cafes', 'Salad', 'Breakfast & Brunch']",1
"['Cafes', 'Salad', 'Sandwiches']",2
"['Cafes', 'Sandwiches', 'Breakfast & Brunch']",2
"['Cafes', 'Sandwiches', 'Bubble Tea']",1
"['Cafes', 'Sandwiches', 'Coffee & Tea']",1
"['Cafes', 'Sandwiches', 'Gelato']",1
"['Cafes', 'Sandwiches', 'Salad']",2
"['Cafes', 'Sandwiches']",6
"['Cafes', 'Soul Food', 'Breakfast & Brunch']",1
"['Cafes', 'Southern', 'Breakfast & Brunch']",2
"['Cafes', 'Vegan', 'Vegetarian']",1
"['Cafes', 'Vegan']",1
"['Cafes', 'Venues & Event Spaces']",1
"['Cafes', 'Vietnamese', 'Sandwiches']",2
"['Cafes', 'Vietnamese']",1
"['Cafes', 'Wine Bars', 'Breakfast & Brunch']",1
['Cafes'],198
"['Cafeteria', 'American (New)', 'Mexican']",1
"['Cafeteria', 'Cafes', 'Breakfast & Brunch']",1
"['Cafeteria', 'Coffee & Tea', 'Gelato']",1
"['Cafeteria', 'Korean', 'Mexican']",1
"['Cafeteria', 'Pizza', 'Sandwiches']",1
['Cafeteria'],45
"['Cajun/Creole', 'American (New)', 'Breakfast & Brunch']",1
"['Cajun/Creole', 'American (New)', 'Lounges']",1
"['Cajun/Creole', 'Asian Fusion']",2
"['Cajun/Creole', 'Bars', 'Seafood']",1
"['Cajun/Creole', 'Breakfast & Brunch', 'Seafood']",1
"['Cajun/Creole', 'Caterers']",1
"['Cajun/Creole', 'Chinese']",1
"['Cajun/Creole', 'Cocktail Bars', 'Breakfast & Brunch']",1
"['Cajun/Creole', 'Delis', 'Pop-Up Restaurants']",1
"['Cajun/Creole', 'Food Trucks']",1
"['Cajun/Creole', 'French', 'Breakfast & Brunch']",1
"['Cajun/Creole', 'Hawaiian', 'Seafood']",1
"['Cajun/Creole', 'Noodles', 'Chicken Wings']",1
"['Cajun/Creole', 'Seafood', 'Asian Fusion']",2
"['Cajun/Creole', 'Seafood', 'Beer Bar']",1
"['Cajun/Creole', 'Seafood', 'Breakfast & Brunch']",1
"['Cajun/Creole', 'Seafood', 'Chicken Wings']",1
"['Cajun/Creole', 'Seafood', 'Desserts']",1
"['Cajun/Creole', 'Seafood', 'Fish & Chips']",3
"['Cajun/Creole', 'Seafood', 'Sandwiches']",1
"['Cajun/Creole', 'Seafood', 'Southern']",1
"['Cajun/Creole', 'Seafood', 'Specialty Food']",1
"['Cajun/Creole', 'Seafood', 'Sports Bars']",1
"['Cajun/Creole', 'Seafood']",11
"['Cajun/Creole', 'Southern', 'Caterers']",1
"['Cajun/Creole', 'Southern', 'Comfort Food']",1
"['Cajun/Creole', 'Southern', 'Seafood']",3
"['Cajun/Creole', 'Southern', 'Soul Food']",2
"['Cajun/Creole', 'Venues & Event Spaces']",1
['Cajun/Creole'],3
"['Cambodian', 'Asian Fusion', 'Chicken Wings']",1
"['Cambodian', 'Asian Fusion']",1
"['Cambodian', 'Imported Food']",1
"['Cambodian', 'Seafood']",1
"['Cambodian', 'Thai', 'Asian Fusion']",1
['Cambodian'],5
"['Candy Stores', 'Gluten-Free', 'Chocolatiers & Shops']",1
"['Cantonese', 'Asian Fusion', 'Desserts']",1
"['Cantonese', 'Asian Fusion', 'Dim Sum']",1
"['Cantonese', 'Barbeque', 'Hot Pot']",1
"['Cantonese', 'Barbeque']",2
"['Cantonese', 'Dim Sum', 'Seafood']",2
"['Cantonese', 'Hong Kong Style Cafe']",5
"['Cantonese', 'Noodles', 'Soup']",1
"['Cantonese', 'Noodles']",4
"['Cantonese', 'Seafood', 'Dim Sum']",1
"['Cantonese', 'Seafood', 'Hong Kong Style Cafe']",1
"['Cantonese', 'Seafood', 'Noodles']",1
"['Cantonese', 'Seafood']",1
"['Cantonese', 'Szechuan']",1
"['Cantonese', 'Vegan', 'Vegetarian']",1
['Cantonese'],17
"['Caribbean', 'African', 'Barbeque']",1
"['Caribbean', 'American (Traditional)']",1
"['Caribbean', 'Asian Fusion', 'Hawaiian']",1
"['Caribbean', 'Bars', 'Breakfast & Brunch']",1
"['Caribbean', 'Cocktail Bars']",1
"['Caribbean', 'Cuban', 'Tapas Bars']",1
"['Caribbean', 'Cuban']",1
"['Caribbean', 'Food Trucks', 'Caterers']",1
"['Caribbean', 'Food Trucks']",1
"['Caribbean', 'Hawaiian', 'Venues & Event Spaces']",1
"['Caribbean', 'Imported Food']",1
"['Caribbean', 'Juice Bars & Smoothies', 'Sandwiches']",1
"['Caribbean', 'Music Venues', 'Dance Clubs']",1
"['Caribbean', 'Tapas/Small Plates', 'Latin American']",1
"['Caribbean', 'Vegetarian', 'Food Stands']",1
['Caribbean'],9
"['Casinos', 'Bars', 'American (Traditional)']",1
"['Caterers', 'American (New)', 'Delis']",1
"['Caterers', 'Bakeries', 'Sandwiches']",1
"['Caterers', 'Barbeque']",12
"['Caterers', 'Breakfast & Brunch', 'Sandwiches']",1
"['Caterers', 'Cafes']",1
"['Caterers', 'Delis', 'Cafes']",1
"['Caterers', 'Delis', 'Sandwiches']",1
"['Caterers', 'Delis']",5
"['Caterers', 'Filipino', 'Venues & Event Spaces']",1
"['Caterers', 'Filipino']",1
"['Caterers', 'Food Stands']",1
"['Caterers', 'Food Trucks', 'American (Traditional)']",1
"['Caterers', 'Food Trucks', 'Barbeque']",1
"['Caterers', 'Food Trucks', 'Filipino']",1
"['Caterers', 'Indian']",2
"['Caterers', 'International Grocery', 'Persian/Iranian']",1
"['Caterers', 'Italian', 'Cooking Classes']",1
"['Caterers', 'Italian']",1
"['Caterers', 'Kosher']",1
"['Caterers', 'Latin American']",1
"['Caterers', 'Mexican']",3
"['Caterers', 'Persian/Iranian', 'Mediterranean']",1
"['Caterers', 'Personal Chefs', 'Pop-Up Restaurants']",1
"['Caterers', 'Personal Chefs', 'Supper Clubs']",1
"['Caterers', 'Pizza']",1
"['Caterers', 'Pop-up Shops', 'American (New)']",1
"['Caterers', 'Sandwiches', 'Delis']",1
"['Caterers', 'Sandwiches']",1
"['Caterers', 'Spanish', 'Tapas/Small Plates']",1
"['Caterers', 'Street Vendors', 'Tacos']",1
"['Caterers', 'Sushi Bars']",1
"['Caterers', 'Tacos']",1
"['Caterers', 'Thai', 'Japanese']",1
['Caterers'],1
"['Cheese Shops', 'Beer, Wine & Spirits', 'American (New)']",1
"['Cheese Shops', 'Beer, Wine & Spirits', 'Delis']",1
"['Cheese Shops', 'Delis', 'Beer, Wine & Spirits']",1
"['Cheese Shops', 'Delis', 'Sandwiches']",1
"['Cheese Shops', 'Pizza', 'Meat Shops']",1
"['Cheese Shops', 'Sandwiches', 'Delis']",1
"['Cheese Shops', 'Sandwiches']",1
"['Cheese Shops', 'Wine Bars', 'Sandwiches']",2
"['Cheesesteaks', 'American (Traditional)', 'Sandwiches']",1
"['Cheesesteaks', 'Asian Fusion', 'Chicken Wings']",1
"['Cheesesteaks', 'Breakfast & Brunch', 'Burgers']",1
"['Cheesesteaks', 'Burgers', 'Breakfast & Brunch']",1
"['Cheesesteaks', 'Burgers', 'Fast Food']",1
"['Cheesesteaks', 'Burgers']",1
"['Cheesesteaks', 'Chicken Wings', 'Halal']",1
"['Cheesesteaks', 'Fish & Chips', 'Pizza']",1
"['Cheesesteaks', 'Food Trucks', 'Caterers']",1
"['Cheesesteaks', 'Food Trucks']",1
"['Cheesesteaks', 'Salad', 'Sandwiches']",1
"['Cheesesteaks', 'Sandwiches', 'Sports Bars']",1
"['Cheesesteaks', 'Sandwiches']",1
"['Cheesesteaks', 'Steakhouses']",1
['Cheesesteaks'],2
"['Chicken Shop', 'American (New)']",1
"['Chicken Shop', 'Asian Fusion', 'Chinese']",1
"['Chicken Shop', 'Fast Food', 'Gluten-Free']",1
"['Chicken Shop', 'Food Trucks', 'Sandwiches']",1
"['Chicken Shop', 'Gluten-Free', 'Sandwiches']",1
"['Chicken Shop', 'Latin American']",1
"['Chicken Shop', 'Noodles', 'Chinese']",1
"['Chicken Shop', 'Sandwiches', 'Chicken Wings']",1
"['Chicken Shop', 'Sandwiches']",3
"['Chicken Shop', 'Soul Food', 'Southern']",1
"['Chicken Shop', 'Thai']",1
['Chicken Shop'],5
"['Chicken Wings', 'Asian Fusion']",1
"['Chicken Wings', 'Bubble Tea', 'Fast Food']",1
"['Chicken Wings', 'Bubble Tea', 'Mexican']",1
"['Chicken Wings', 'Burgers', 'American (Traditional)']",1
"['Chicken Wings', 'Burgers', 'Sandwiches']",1
"['Chicken Wings', 'Burgers']",1
"['Chicken Wings', 'Desserts', 'Barbeque']",1
"['Chicken Wings', 'Fast Food', 'Salad']",1
"['Chicken Wings', 'Fast Food']",2
"['Chicken Wings', 'Fish & Chips', 'Fast Food']",1
"['Chicken Wings', 'Korean', 'Asian Fusion']",5
"['Chicken Wings', 'Korean', 'Food Trucks']",1
"['Chicken Wings', 'Korean']",4
"['Chicken Wings', 'Pizza', 'Indian']",1
"['Chicken Wings', 'Pizza']",1
"['Chicken Wings', 'Salad', 'Noodles']",1
"['Chicken Wings', 'Salad', 'Pizza']",1
"['Chicken Wings', 'Salad', 'Sandwiches']",1
"['Chicken Wings', 'Sandwiches', 'Asian Fusion']",1
"['Chicken Wings', 'Sandwiches']",1
"['Chicken Wings', 'Seafood', 'Fish & Chips']",1
"['Chicken Wings', 'Specialty Food']",1
"['Chicken Wings', 'Sports Bars', 'American (Traditional)']",2
"['Chicken Wings', 'Sports Bars']",1
['Chicken Wings'],8
"['Chinese', 'American (New)', 'Filipino']",1
"['Chinese', 'American (New)', 'Seafood']",1
"['Chinese', 'American (New)']",1
"['Chinese', 'American (Traditional)', 'Asian Fusion']",1
"['Chinese', 'American (Traditional)', 'Seafood']",2
"['Chinese', 'American (Traditional)', 'Sports Bars']",1
"['Chinese', 'American (Traditional)']",1
"['Chinese', 'Asian Fusion', 'Bars']",1
"['Chinese', 'Asian Fusion', 'Caterers']",1
"['Chinese', 'Asian Fusion', 'Chicken Wings']",1
"['Chinese', 'Asian Fusion', 'Hong Kong Style Cafe']",1
"['Chinese', 'Asian Fusion', 'Indian']",1
"['Chinese', 'Asian Fusion', 'Noodles']",1
"['Chinese', 'Asian Fusion', 'Soup']",1
"['Chinese', 'Asian Fusion', 'Sushi Bars']",1
"['Chinese', 'Asian Fusion', 'Tapas/Small Plates']",1
"['Chinese', 'Asian Fusion']",24
"['Chinese', 'Bakeries']",1
"['Chinese', 'Barbeque', 'Chicken Wings']",2
"['Chinese', 'Barbeque', 'Hot Dogs']",1
"['Chinese', 'Barbeque', 'Noodles']",4
"['Chinese', 'Barbeque', 'Seafood']",1
"['Chinese', 'Barbeque']",8
"['Chinese', 'Bars']",4
"['Chinese', 'Breakfast & Brunch', 'Seafood']",1
"['Chinese', 'Breakfast & Brunch', 'Soup']",1
"['Chinese', 'Breakfast & Brunch', 'Vietnamese']",1
"['Chinese', 'Bubble Tea']",1
"['Chinese', 'Buffets', 'Noodles']",1
"['Chinese', 'Buffets', 'Seafood']",2
"['Chinese', 'Buffets', 'Sushi Bars']",1
"['Chinese', 'Buffets']",3
"['Chinese', 'Burmese']",2
"['Chinese', 'Cafes']",5
"['Chinese', 'Cambodian', 'Vietnamese']",1
"['Chinese', 'Caterers']",1
"['Chinese', 'Chicken Shop']",1
"['Chinese', 'Chicken Wings', 'Noodles']",1
"['Chinese', 'Chicken Wings']",1
"['Chinese', 'Cocktail Bars', 'Seafood']",1
"['Chinese', 'Cocktail Bars']",1
"['Chinese', 'Coffee & Tea', 'Hong Kong Style Cafe']",1
"['Chinese', 'Coffee & Tea']",1
"['Chinese', 'Delis']",1
"['Chinese', 'Desserts', 'Bubble Tea']",1
"['Chinese', 'Desserts', 'Coffee & Tea']",1
"['Chinese', 'Desserts', 'Hot Pot']",1
"['Chinese', 'Desserts', 'Seafood']",1
"['Chinese', 'Desserts', 'Soup']",1
"['Chinese', 'Donuts']",1
"['Chinese', 'Fast Food', 'Asian Fusion']",1
"['Chinese', 'Fast Food', 'Barbeque']",1
"['Chinese', 'Fast Food', 'Chicken Wings']",1
"['Chinese', 'Fast Food', 'Noodles']",1
"['Chinese', 'Fast Food']",14
"['Chinese', 'Filipino', 'Noodles']",1
"['Chinese', 'Filipino']",2
"['Chinese', 'Food Court']",1
"['Chinese', 'Food Delivery Services', 'Caterers']",1
"['Chinese', 'Halal', 'Hot Pot']",1
"['Chinese', 'Halal', 'Kebab']",1
"['Chinese', 'Halal']",1
"['Chinese', 'Hawaiian', 'Barbeque']",1
"['Chinese', 'Hong Kong Style Cafe', 'Breakfast & Brunch']",1
"['Chinese', 'Hong Kong Style Cafe', 'Noodles']",1
"['Chinese', 'Hong Kong Style Cafe', 'Tapas/Small Plates']",1
"['Chinese', 'Hong Kong Style Cafe']",6
"['Chinese', 'Hot Pot', 'Asian Fusion']",1
"['Chinese', 'Hot Pot', 'Karaoke']",1
"['Chinese', 'Hot Pot', 'Noodles']",1
"['Chinese', 'Hot Pot', 'Seafood']",1
"['Chinese', 'Hot Pot', 'Soup']",1
"['Chinese', 'Hot Pot', 'Taiwanese']",1
"['Chinese', 'Hot Pot']",4
"['Chinese', 'Ice Cream & Frozen Yogurt', 'Cafes']",1
"['Chinese', 'Indian', 'Food Trucks']",1
"['Chinese', 'Indian', 'Himalayan/Nepalese']",1
"['Chinese', 'Japanese', 'Sushi Bars']",5
"['Chinese', 'Japanese']",6
"['Chinese', 'Juice Bars & Smoothies', 'Seafood']",1
"['Chinese', 'Korean', 'Noodles']",1
"['Chinese', 'Korean']",4
"['Chinese', 'Lounges', 'Hot Pot']",2
"['Chinese', 'Lounges']",1
"['Chinese', 'Mongolian', 'Seafood']",1
"['Chinese', 'Mongolian']",2
"['Chinese', 'Noodles', 'Bars']",1
"['Chinese', 'Noodles', 'Breakfast & Brunch']",1
"['Chinese', 'Noodles', 'Bubble Tea']",1
"['Chinese', 'Noodles', 'Buffets']",1
"['Chinese', 'Noodles', 'Burgers']",1
"['Chinese', 'Noodles', 'Creperies']",1
"['Chinese', 'Noodles', 'Hong Kong Style Cafe']",1
"['Chinese', 'Noodles', 'Korean']",2
"['Chinese', 'Noodles', 'Seafood']",2
"['Chinese', 'Noodles', 'Soup']",9
"['Chinese', 'Noodles', 'Taiwanese']",1
"['Chinese', 'Noodles', 'Tapas/Small Plates']",1
"['Chinese', 'Noodles']",29
"['Chinese', 'Ramen']",1
