Row Labels,Count of Category
"['American (New)', 'Desserts', 'American (Traditional)']",1
"['American (New)', 'Desserts', 'Cocktail Bars']",3
"['American (New)', 'Desserts', 'Salad']",1
"['American (New)', 'Desserts', 'Steakhouses']",1
"['American (New)', 'Desserts', 'Wine Bars']",3
"['American (New)', 'Diners', 'Wine Bars']",2
"['American (New)', 'Fast Food', 'Burgers']",1
"['American (New)', 'Fast Food', 'Chicken Wings']",1
"['American (New)', 'Fast Food']",1
"['American (New)', 'Fondue', 'Steakhouses']",1
"['American (New)', 'Food Stands']",1
"['American (New)', 'Food Trucks', 'Caterers']",1
"['American (New)', 'Food Trucks', 'Comfort Food']",1
"['American (New)', 'French', 'Bars']",1
"['American (New)', 'French', 'Brasseries']",1
"['American (New)', 'French', 'Italian']",1
"['American (New)', 'French', 'Japanese']",1
"['American (New)', 'French', 'Venues & Event Spaces']",1
"['American (New)', 'French', 'Wine Bars']",2
"['American (New)', 'French']",4
"['American (New)', 'Fruits & Veggies']",1
"['American (New)', 'Gastropubs', 'Bars']",1
"['American (New)', 'Gastropubs', 'Beer Bar']",1
"['American (New)', 'Gastropubs', 'Beer Gardens']",1
"['American (New)', 'Gastropubs', 'Cocktail Bars']",1
"['American (New)', 'Gastropubs', 'Eatertainment']",1
"['American (New)', 'Gastropubs', 'Latin American']",1
"['American (New)', 'Gastropubs', 'Pubs']",1
"['American (New)', 'Gastropubs', 'Wine Bars']",1
"['American (New)', 'Gastropubs']",1
"['American (New)', 'Gluten-Free', 'Bars']",1
"['American (New)', 'Gluten-Free', 'Coffee & Tea']",1
"['American (New)', 'Gluten-Free', 'Desserts']",1
"['American (New)', 'Gluten-Free', 'Vegetarian']",1
"['American (New)', 'Hot Dogs', 'Delis']",1
"['American (New)', 'Ice Cream & Frozen Yogurt', 'Beer Gardens']",1
"['American (New)', 'Indian', 'Bars']",1
"['American (New)', 'Italian', 'Bars']",1
"['American (New)', 'Italian', 'Cocktail Bars']",1
"['American (New)', 'Italian', 'Pizza']",2
"['American (New)', 'Italian']",2
"['American (New)', 'Japanese']",1
"['American (New)', 'Latin American']",1
"['American (New)', 'Lounges', 'Beer, Wine & Spirits']",1
"['American (New)', 'Lounges', 'Breakfast & Brunch']",3
"['American (New)', 'Lounges', 'Desserts']",1
"['American (New)', 'Lounges', 'Diners']",1
"['American (New)', 'Lounges', 'Gluten-Free']",1
"['American (New)', 'Lounges', 'Steakhouses']",1
"['American (New)', 'Lounges']",5
"['American (New)', 'Mediterranean', 'Bars']",3
"['American (New)', 'Mediterranean', 'Breakfast & Brunch']",1
"['American (New)', 'Mediterranean', 'Tapas/Small Plates']",1
"['American (New)', 'Mediterranean', 'Wine Bars']",2
"['American (New)', 'Mediterranean']",1
"['American (New)', 'Mexican', 'Breakfast & Brunch']",1
"['American (New)', 'Mexican', 'Salvadoran']",1
"['American (New)', 'Mexican', 'Vegetarian']",1
"['American (New)', 'Mini Golf']",1
"['American (New)', 'Modern European', 'Cocktail Bars']",1
"['American (New)', 'Modern European', 'Desserts']",1
"['American (New)', 'Modern European', 'Italian']",1
"['American (New)', 'Moroccan', 'Ethiopian']",1
"['American (New)', 'Noodles', 'Wraps']",1
"['American (New)', 'Pasta Shops', 'Sandwiches']",1
"['American (New)', 'Pizza', 'Italian']",1
"['American (New)', 'Pizza', 'Salad']",1
"['American (New)', 'Pizza', 'Sandwiches']",1
"['American (New)', 'Pizza']",3
"['American (New)', 'Pop-Up Restaurants', 'Breakfast & Brunch']",1
"['American (New)', 'Pubs', 'Music Venues']",1
"['American (New)', 'Pubs', 'Sports Bars']",1
"['American (New)', 'Salad', 'Cocktail Bars']",1
"['American (New)', 'Salad', 'Sandwiches']",2
"['American (New)', 'Sandwiches', 'Breakfast & Brunch']",1
"['American (New)', 'Sandwiches', 'Cafes']",1
"['American (New)', 'Sandwiches', 'Salad']",2
"['American (New)', 'Sandwiches']",1
"['American (New)', 'Seafood', 'Asian Fusion']",1
"['American (New)', 'Seafood', 'Bars']",2
"['American (New)', 'Seafood', 'Breakfast & Brunch']",5
"['American (New)', 'Seafood', 'Cocktail Bars']",2
"['American (New)', 'Seafood', 'Desserts']",1
"['American (New)', 'Seafood', 'Fast Food']",1
"['American (New)', 'Seafood', 'Lounges']",1
"['American (New)', 'Seafood', 'Music Venues']",1
"['American (New)', 'Seafood', 'Pizza']",1
"['American (New)', 'Seafood', 'Steakhouses']",3
"['American (New)', 'Seafood', 'Tapas Bars']",1
"['American (New)', 'Seafood', 'Vegetarian']",1
"['American (New)', 'Seafood']",7
"['American (New)', 'Southern', 'Cajun/Creole']",1
"['American (New)', 'Southern', 'Cocktail Bars']",1
"['American (New)', 'Southern', 'Pubs']",1
"['American (New)', 'Speakeasies']",1
"['American (New)', 'Sports Bars', 'American (Traditional)']",1
"['American (New)', 'Sports Bars', 'Breakfast & Brunch']",1
"['American (New)', 'Sports Bars', 'Burgers']",2
"['American (New)', 'Sports Bars', 'Cheesesteaks']",1
"['American (New)', 'Sports Bars', 'Cocktail Bars']",1
"['American (New)', 'Sports Bars', 'Mediterranean']",1
"['American (New)', 'Sports Bars', 'Steakhouses']",1
"['American (New)', 'Sports Bars', 'Venues & Event Spaces']",1
"['American (New)', 'Sports Bars']",4
"['American (New)', 'Steakhouses', 'Burgers']",1
"['American (New)', 'Steakhouses', 'Comfort Food']",1
"['American (New)', 'Steakhouses', 'Sports Bars']",1
"['American (New)', 'Steakhouses']",4
"['American (New)', 'Tacos', 'Chicken Wings']",1
"['American (New)', 'Tapas Bars']",1
"['American (New)', 'Tapas/Small Plates', 'Cocktail Bars']",1
"['American (New)', 'Tea Rooms']",1
"['American (New)', 'Vegan', 'Vegetarian']",1
"['American (New)', 'Vegetarian', 'Bars']",1
"['American (New)', 'Venues & Event Spaces', 'Bars']",3
"['American (New)', 'Venues & Event Spaces', 'Breakfast & Brunch']",1
"['American (New)', 'Venues & Event Spaces', 'Caterers']",1
"['American (New)', 'Venues & Event Spaces', 'Cocktail Bars']",2
"['American (New)', 'Venues & Event Spaces', 'Lounges']",1
"['American (New)', 'Venues & Event Spaces', 'Seafood']",1
"['American (New)', 'Venues & Event Spaces', 'Sports Bars']",1
"['American (New)', 'Venues & Event Spaces', 'Wine Bars']",1
"['American (New)', 'Venues & Event Spaces']",2
"['American (New)', 'Whiskey Bars', 'Steakhouses']",1
"['American (New)', 'Wine Bars', 'Breakfast & Brunch']",2
"['American (New)', 'Wine Bars', 'Cocktail Bars']",1
"['American (New)', 'Wine Bars', 'Desserts']",2
"['American (New)', 'Wine Bars', 'Gluten-Free']",1
"['American (New)', 'Wine Bars', 'Modern European']",1
"['American (New)', 'Wine Bars', 'Seafood']",2
"['American (New)', 'Wine Bars', 'Steakhouses']",1
"['American (New)', 'Wine Bars', 'Waffles']",1
"['American (New)', 'Wine Bars']",13
"['American (New)', 'Wine Tasting Classes', 'Wine Bars']",1
"['American (New)', 'Wine Tasting Room', 'Wine Bars']",1
"['American (New)', 'Wine Tours']",1
['American (New)'],206
"['American (Traditional)', 'American (New)']",2
"['American (Traditional)', 'Bakeries', 'Coffee & Tea']",1
"['American (Traditional)', 'Bakeries', 'Pizza']",1
"['American (Traditional)', 'Bakeries']",1
"['American (Traditional)', 'Barbeque', 'Burgers']",2
"['American (Traditional)', 'Barbeque']",5
"['American (Traditional)', 'Bars', 'Beer Gardens']",1
"['American (Traditional)', 'Bars', 'Breakfast & Brunch']",7
"['American (Traditional)', 'Bars', 'Burgers']",1
"['American (Traditional)', 'Bars', 'Chicken Wings']",1
"['American (Traditional)', 'Bars', 'Diners']",1
"['American (Traditional)', 'Bars', 'Modern European']",1
"['American (Traditional)', 'Bars', 'Pizza']",1
"['American (Traditional)', 'Bars', 'Salad']",2
"['American (Traditional)', 'Bars', 'Venues & Event Spaces']",2
"['American (Traditional)', 'Bars']",20
"['American (Traditional)', 'Beer Bar', 'Burgers']",1
"['American (Traditional)', 'Beer Bar', 'Sandwiches']",1
"['American (Traditional)', 'Beer Bar']",4
"['American (Traditional)', 'Beer, Wine & Spirits']",1
"['American (Traditional)', 'Breakfast & Brunch', 'American (New)']",2
"['American (Traditional)', 'Breakfast & Brunch', 'Barbeque']",2
"['American (Traditional)', 'Breakfast & Brunch', 'Bars']",4
"['American (Traditional)', 'Breakfast & Brunch', 'Beer Bar']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Beverage Store']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Burgers']",5
"['American (Traditional)', 'Breakfast & Brunch', 'Cafes']",8
"['American (Traditional)', 'Breakfast & Brunch', 'Cheesesteaks']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Cocktail Bars']",6
"['American (Traditional)', 'Breakfast & Brunch', 'Coffee & Tea']",2
"['American (Traditional)', 'Breakfast & Brunch', 'Comfort Food']",2
"['American (Traditional)', 'Breakfast & Brunch', 'Diners']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Gluten-Free']",2
"['American (Traditional)', 'Breakfast & Brunch', 'Greek']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Juice Bars & Smoothies']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Latin American']",1
"['American (Traditional)', 'Breakfast & Brunch', 'Salad']",3
"['American (Traditional)', 'Breakfast & Brunch', 'Sandwiches']",6
