,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
47642,Ken Kee Cafe,"['Cantonese', 'Hong Kong Style Cafe']",San Francisco,94121,37.78201,-122.48191,4.5,10,NAN,DBYlHaCAR9Ddq2sNajWmJg
32884,A Plus HK Style Cafe,"['Cantonese', 'Hong Kong Style Cafe']",Fremont,94539,37.492557,-121.929806,3.5,230,$,jP07Y4CDmDYmw7kJohSClQ
20565,Just Won Ton,"['Cantonese', 'Noodles', 'Soup']",San Francisco,94116,37.73887,-122.4804,3.5,258,$,rVEilABR3QhuYL1qc5R9gA
47608,Won-Ton-House,"['Cantonese', 'Noodles']",San Francisco,94122,37.7540126,-122.4781376,3.5,466,$,syIHvIqM4ON4FkK_lHcvGA
17097,Yin Du Wonton Noodle,"['Cantonese', 'Noodles']",San Francisco,94133,37.79705,-122.40647,3.5,362,$,TSIM6hCZhvsBbSYJJRF_AA
17336,Hon's Wun-Tun House,"['Cantonese', 'Noodles']",San Francisco,94108,37.794252819525795,-122.404613666865,3.5,520,$,14tNG31ieuMBtx43oDNjjA
4144,Boathouse Asian Noodles,"['Cantonese', 'Noodles']",Rohnert Park,94928,38.360426000000004,-122.723947,2.0,46,$$,I-Q5Y2PBjBdva8zkdJFGCg
16067,Shai Lai Seafood Restaurant,"['Cantonese', 'Seafood', 'Dim Sum']",San Francisco,94121,37.7798004150391,-122.486602783203,3.5,125,$$,zO-BFGWIRWqMOOHyH-6Sqg
16314,D & A Cafe,"['Cantonese', 'Seafood', 'Hong Kong Style Cafe']",San Francisco,94118,37.78273,-122.46361,3.0,622,$,v8yKr4d-QiuyrMbpPFLJJA
16923,Hong Kong Clay Pot Restaurant,"['Cantonese', 'Seafood', 'Noodles']",San Francisco,94108,37.79588,-122.40648999999999,4.0,856,$$,Sg_R67gxg9ALW2wtg13aYQ
33709,Hong Kong Restaurant,"['Cantonese', 'Seafood']",Palo Alto,94306,37.418613,-122.132797,3.5,217,$$,4cah_wZu61nKn32hqqVHdw
23161,Porridge King,"['Cantonese', 'Seafood']",Daly City,94015,37.682330444360105,-122.48756104751999,2.5,542,$,O0t_lz75ZnTD50n09UhdGA
6417,Happy Garden,"['Cantonese', 'Szechuan']",Fairfield,94534,38.2167271358203,-122.14141243656601,3.5,163,$$,t1ScJ43W0K0rHaX9iSYdqg
5429,Flowering Tea House,"['Cantonese', 'Vegan', 'Vegetarian']",Petaluma,94954,38.27349,-122.66633999999999,3.5,144,$$,FE6RpwPkJToHU5Bq-KCsPg
17306,Cafe Broadway,['Cantonese'],San Francisco,94133,37.797981262206996,-122.40821075439501,3.0,121,$$,y7Gbl1VzsGYavbR3ZIt0Mw
3256,Mei-Don Chinese Cuisine,['Cantonese'],Santa Rosa,95409,38.441457,-122.60527900000001,4.0,68,$$,kS_wf3vsi2tpzgvVbWt0gg
22230,China Villa,['Cantonese'],Alameda,94502,37.7369978,-122.23908190000002,3.5,120,$$,kUdYNcEa37F0dKNwRVV6_Q
34717,Cooking Papa Restaurant,['Cantonese'],Mountain View,94040,37.39452,-122.0982,3.0,433,$$,ADzWLVbsQSJksVVOPLZCQA
17930,Gum Kuo Restaurant,['Cantonese'],Oakland,94607,37.800768,-122.271639,4.0,909,$,4uzxXWe2vrOjuPJqMJJRng
11272,Daimo Chinese Restaurant,['Cantonese'],Richmond,94804,37.899316657639204,-122.30852268785101,3.0,860,$$,tcrFPkHp62kx_aVrlPeF3A
27638,Fat Wong's Kitchen,['Cantonese'],San Bruno,94066,37.615727,-122.406295,3.5,846,$,2kwCBSmLZcFo2uvZP4qmLA
17533,New Woey Loy Goey Restaurant,['Cantonese'],San Francisco,94133,37.7958799,-122.40648999999999,3.5,288,$,3FMOCpZi2sdoZefEfLDBRQ
44697,Mandarin Gourmet,['Cantonese'],Santa Cruz,95060,36.9752279844898,-122.02766202114401,3.5,77,$,Ocezc6F8bDD7HZET_SIpmw
4250,China Delight,['Cantonese'],Rohnert Park,94928,38.362337,-122.69231200000002,3.5,126,$$,QeMfUe099o3XES7lkY1MAA
18324,Golden Peacock Restaurant,['Cantonese'],Oakland,94607,37.7995973,-122.2713136,3.0,94,$,jiOnnRKOFRYRcr0GeTBmPQ
25074,Gum Kuo,['Cantonese'],Dublin,94568,37.7041169704192,-121.851240146802,3.5,266,$$,S2ZG2Ze5DmqybNdzdwnTgA
47491,Zhong Shan Hakka Cuisine,['Cantonese'],San Francisco,94116,37.74216,-122.49031,4.0,7,NAN,m5c-bIR-Y6h5ylUIbRDP7Q
44314,Mayflower Chinese Restaurant,['Cantonese'],Capitola,95010,36.978569,-121.9693298,3.5,74,$,WYtTqy9WowFVFvpr2Jkxrw
19059,Alice Bistro,['Cantonese'],Alameda,94501,37.7727999,-122.25477,3.5,24,NAN,l0lwwvtpRURqN9Ng9gjlZA
18610,Flower Lounge,['Cantonese'],Oakland,94602,37.8005332946777,-122.217964172363,4.0,193,$$,i9SVArWKSobOCFL4VkvMDw
24411,Ga Hing Restaurant,['Cantonese'],San Leandro,94579,37.6920891,-122.1476212,4.0,84,$,SOdNX08SjuBoPmwFrzLiDQ
1099,Tasty Kitchen,['Cantonese'],Davis,95616,38.54578789999999,-121.7408356,3.0,198,$$,BMAf1Mi65tGzlzeWfnot4w
9895,Ok Cafe,['Cantonese'],Concord,94520,37.952556472368705,-122.04379752252702,3.5,247,$,dbJfkEVNUhA1pqhiu2QYEg
14412,Suya African-Caribbean Grill,"['Caribbean', 'African', 'Barbeque']",Oakland,94612,37.81095,-122.26645,4.0,213,$,j0tcrOMHRXE9rvUpfNjnEA
51712,Back A Yard,"['Caribbean', 'American (Traditional)']",San Jose,95113,37.33673,-121.8926,4.0,1893,$$,ubaGEwbm-tt38c6KXWUv6A
52423,Island Grill,"['Caribbean', 'Asian Fusion', 'Hawaiian']",San Jose,95112,37.3620223999023,-121.906661987305,3.0,144,$$,XpJf6bkctHnrwJvuzY50yQ
14157,Kingston 11 Cuisine,"['Caribbean', 'Bars', 'Breakfast & Brunch']",Oakland,94612,37.812284000000005,-122.268599,4.0,785,$$,BGETw_tBNssq1OaywA-tmA
21101,Obispo,"['Caribbean', 'Cocktail Bars']",San Francisco,94110,37.7524,-122.41779,4.5,55,$$,BtXUsgGkUc_ljZcchN6_hg
