,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
42,Tacomania,['Mexican'],Napa,94558.0,38.34256,-122.31543700000002,3.0,2,$,qb0wA1McNBx60XROycWg6Q,Napa
43,Cordeiro's Steakhouse,"['Seafood', 'Steakhouses']",Napa,94558.0,38.3384,-122.25943000000001,4.5,318,$$$$,eMOscRvVqM2wvymrSig_dQ,Napa
44,Vineburg Deli,"['Delis', 'Sandwiches', 'Breakfast & Brunch']",Napa,94558.0,38.33701,-122.26308999999999,4.5,40,$,9rNHcitrumJ662GIxiVA7Q,Napa
46,Hop Creek,"['Gastropubs', 'Burgers']",Napa,94558.0,38.30435,-122.32883000000001,4.5,227,$$,7J9arBY_k-AOSsqIm3FwVg,Napa
47,Heritage Eats,"['Salad', 'Bubble Tea', 'Asian Fusion']",Napa,94558.0,38.32387,-122.30711000000001,4.5,675,$$,7Hyf9cUyiYWkmhhQ0_AWqA,Napa
49,Yak & Yeti,"['Indian', 'Himalayan/Nepalese']",Napa,94558.0,38.31855,-122.29798000000001,4.5,140,$$,Ht0niTEmjKtPriSQPm3l6Q,Napa
50,Trancas Steakhouse,"['Steakhouses', 'Bars']",Napa,94558.0,38.32324000000001,-122.29552,3.5,301,$$,cI7vEILthTHYjKkwSUKxhw,Napa
51,Red Rock Cafe & Back Door BBQ,"['Barbeque', 'Burgers', 'American (Traditional)']",Napa,94558.0,38.3088994,-122.2936418,4.0,329,$$,IfrL2aZ9bSexzQ6z37Cy-w,Napa
52,Squeeze Inn Hamburgers,['Burgers'],Napa,94558.0,38.31977,-122.31036999999999,4.0,442,$,LiokJ8a2MDodEX-FH56lMw,Napa
53,Aroma Indian Cuisine,['Indian'],Napa,94558.0,38.3159395512024,-122.297723194862,4.5,378,$$,YavyNdLBS5SfFvlCiGTVBQ,Napa
54,JuJu's Mediterranean Kitchen,['Mediterranean'],Napa,94558.0,38.3204391780269,-122.30688369446999,4.0,165,$$,XxC-FHt_VOsUvrbmPrV1Gg,Napa
55,Fresh A-Mex,['Mexican'],Napa,94558.0,38.323859999999996,-122.28686,4.5,27,Unavailable,IpfFMC85woy0RKfnF7aCAg,Napa
56,Jade Garden,['Chinese'],Napa,94558.0,38.3206337742612,-122.307130470872,4.0,65,$$,jBp1z_6Iigjpg4xYUUw_GA,Napa
57,Southside Cafe,"['Coffee & Tea', 'Breakfast & Brunch']",Napa,94558.0,38.288047797211796,-122.309903650623,4.5,441,$$,XsNGyuVUnglp1-ZYC3zCsQ,Napa
58,La Taquiza Fish Tacos,"['Tacos', 'Seafood']",Napa,94558.0,38.32065,-122.31074,4.0,253,$,z3IEwvr7gvKt2YvtuTqsTg,Napa
59,Dragon Valley,['Chinese'],Napa,94558.0,38.3217484362577,-122.304952687341,3.5,66,$$,DpSjiQCpzDH8zjSyPpR2Pw,Napa
60,Andies Cafe,"['American (Traditional)', 'Burgers']",Napa,94558.0,38.299257399999995,-122.3047925,4.5,240,$,G-OqqASl0x1Oa5Yrw-_owA,Napa
61,Thai Kitchen Restaurant,['Thai'],Napa,94558.0,38.3232799,-122.29903999999999,3.5,136,$$,6_MfEsfO1uz7UyIfkpLvkg,Napa
62,Sushi Haku,"['Japanese', 'Sushi Bars']",Napa,94558.0,38.319281,-122.298154,3.0,282,$$,ae0P7DM6F6FKvZly17i3sA,Napa
63,Genova Delicatessen,"['Delis', 'Italian', 'Sandwiches']",Napa,94558.0,38.323159999999994,-122.30333,4.0,401,$$,XYtKUAd_s570tdvG1Tjlug,Napa
65,Velo Pizzeria,"['Pizza', 'Sandwiches', 'Italian']",Napa,94558.0,38.2979577889062,-122.28464363691401,4.0,214,$$,ibWC46g506maEK6HMLsOvA,Napa
66,The Habit Burger Grill,"['Burgers', 'American (Traditional)']",Napa,94558.0,38.321329999999996,-122.30691000000002,3.0,162,$,2jYBm4dafuCrBYUqsGTvIA,Napa
67,Hop Hing's Kitchen,['Chinese'],Napa,94558.0,38.32387,-122.28698999999999,3.5,48,$,duhxq_05CXlmKFujwkAWcA,Napa
70,Siam Thai House,['Thai'],Napa,94558.0,38.30826,-122.2949,3.5,109,$$,YpvFnMpbHrY-B64szIBy_g,Napa
71,Papa Joe's Pizza,['Pizza'],Napa,94558.0,38.30834,-122.29466000000001,3.5,343,$$,gNOeQMfxjHFx0vxxo0HRKA,Napa
72,VINeleven,"['American (New)', 'Breakfast & Brunch', 'Bars']",Napa,94558.0,38.32274,-122.31206,4.0,42,$$,bYkaN39j_zI_yA2JibW3gg,Napa
73,Mary's Pizza Shack,"['Pizza', 'Italian']",Napa,94558.0,38.31695,-122.29855,3.0,155,$$,Qfeu4USWocR4nJ-mVy8OOA,Napa
